id,label,split,text
10,1,train,"When reading a review from another user , saying that it 's a terrible game , I could not stand idle and do nothing ! Well , this game is great , from the news clips ( with two real persons , full of humour sense and credibility ! ) , to the story , I find it very good ! I only complain about the enemies start blinking when they die , until they disappear ; and some frustrating situations on the LEILA VR missions , when riding the bike , here and there ... Except that , it 's a great game , with a great story , good graphics , excellent characters , great soundtrack ... I recommend it ! Surely ! It can be a bit old , but still enjoyable ! At least , on the Dreamcast ... but the PS2 version shall be the same ."
11,1,train,"I 've just returned from a showing of `` My Left Foot '' at our public library . What an emotional experience -- I feel drained and uplifted . It 's the story of Christy Brown , Irish writer and painter , and based on the author 's autobiographical `` My Left Foot . '' Christy was born with a form of cerebral palsy such that the only limb he had good control of was his left foot . Doctors advised his parents he was hopelessly mentally retarded but his mother did n't give up on him and , somewhat as Annie Sullivan had done with Helen Keller , helped him achieve a breakthrough in which he learned the alphabet and then to read , write , and paint . This film won Academy Awards for Daniel Day-Lewis ( best actor ) as well as best supporting actress for the actress playing his mother ; it also received Oscar nominations for best picture , best director , and best adapted screenplay . As a retired clinical psychologist and family therapist , while many films may entertain me , many also often leave me having to overlook gross fictions or improbabilities in realistic psychological reactions . Not this film -- it was absolutely `` spot on '' in portraying typical Irish parental roles & behaviors ( see , e.g. , see typical Irish families in McGoldrick 's `` Ethnicity & Family Therapy '' ) as well Christy Brown 's uneven emotional maturation -- some immature personality reactions that were even further amplified by his picking up traits of his father . The film presents the greater truth while changing certain sequences in his development ( painting & writing ) and condensing several important people into one person , for the sake of telling a coherent , believable story , not burdened by small , distracting , less important actualities . ( See Christy Brown in Wikipedia for more accuracy . ) The DVD version we were shown had some English subtitles that were a great help in understanding Christy 's speech ( & some of the Irish speech ) ; the initial release of the film may have lacked this . ( If you see this on DVD , enable that option . ) The performance by Daniel Day-Lewis is one of the greatest , believable acting jobs I 've ever seen . Truly magnificent , outstanding , superlative . `` My Left Foot '' bears more than some similarity to a more recent film , `` The Diving Bell & the Butterfly , '' in that each portrays the life of a real person successfully surmounting the imprisonment and isolation of an extremely severe physical handicap . And in doing so , it resonates with William Ernest Henley 's `` Invictus '' which begins : `` Out of the night that covers me , //Black as the Pit from pole to pole , //I thank whatever gods may be//For my unconquerable soul . ''"
12,1,train,"If you find yourself in need of an escape , something that will hold your attention for two hours and allow you to be lost in another world , Domino will satisfy that need . This is entertainment , after all ! The plot keeps your brain in motion - one of those movies ( like Usual Suspects ) where you want to see it a second time to figure it all out . I wondered about Domino Harvey herself , how her life became of interest to Hollywood . As for the acting , lots of celebrity appearances not shown in the trailers . And any actor that makes me forget who they are has done their job well . Not once did I think of Kiera in a soccer uniform or pirate costume . And granted , Mickey Rourke plays Mickey Rourke well and often , but here , despite the violence , he shows signs of being capable of caring for other people ."
13,1,train,"One of John Ford 's best films 'The Informer ' does n't feature any grand scenery of the American West . Instead the intense drama Ford was known for plays out on the no less rugged terrain of British character actor Victor McLaglen 's face . The former prizefighter , who once faced Joe Louis in the ring , delivers an Academy Award-winning portrayal of disgraced IRA soldier Gypo Nolan on the worst night of his life . The plot is gracefully simple : In 1922 Dublin , a starving and humiliated man who 's been thrown out of the IRA for being unable to kill an informant in cold blood , himself becomes an informant . For £20 he betrays a friend to `` the Tans '' and for the rest of the night he drinks and gives away his blood money in rapidly alternating spasms of guilt , denial , self-pity , and a desperate desire to escape the consequences of his actions . It is the remarkable complexity given to the character of the seemingly simple Gypo that is the film 's most impressive achievement . In most movies a burly lout of Gypo 's type would be cast as the heavy , he 'd have at best two or three lines and be disposed of quickly so the hero and the villain could have their showdown . In 'The Informer ' Gypo himself is both hero and villain , while the showdown is in his inner turmoil , every bit of which is explicitly shared with the audience . Because Liam O'Flaherty 's novel had previously been filmed in 1929 , RKO gave Ford a very modest budget . The director and his associates , particularly cinematographer Joseph H. August , turned this to their advantage in creating a claustrophobic masterpiece about a man at war with himself . In addition to McLaglen 's Oscar 'The Informer ' also won John Ford his first along with wins for Best Screenplay and Best Score ."
14,1,train,"I liked this movie very much . Although this movie does n't boast of big ( or even known ) names , its very charming . Its one of those feel good types where you know that everythings gon na be just fine in the end . My favorite scene is with the baby elephant part . I rate this movie at 7.5"
15,1,train,"POSSIBLE SPOILER - In some way `` How to Alienate Friends ... . '' is the `` loser learns to adjust , becomes successful and finds out that something else matter more '' type of story , situated in the celebrity business . - END OF SPOILER I do n't know the original book but this comedy delivers several good moments . Though I do think the ending is flawed . It felt too fast and too abrupt , as if something was missing . Besides I 'd say the movie is n't able to keep a high level . Apart from this you 'll find a sweet selection of actors and actresses with sometimes controversial acting qualities . Until now I 've never seen Pegg any different . Still he is a very unique type though on the screen he sometimes might seem a little more tedious than necessary . Fox proved she is capable to play a hot starlet with her head in the clouds . Do n't know whether it was a hard thing to do , but her performance was hot and way better than during `` Transformers '' ( okay ... probably that 's no tough match ) . Kirsten Dunst is very much Kirsten Dunst ( again ) and you may like it ( as I do ) or find it annoying . On the other hand you 'll see Anderson who proved her acting skills and Jeff Bridges ( who is fine but perhaps he could have acted a little more powerful ) . They all fit their character well enough . Conclusion : I think it 's a nice celeb comedy with some more and some less funny passages , a sweet cast but an all too sudden ending ."
16,1,train,"Alright , I have to admit that I have never seen `` Rhoda '' and only one or two episodes of `` The Mary Tyler Moore Show . '' Even though I do n't know anything about this duo of comedic talent , I still liked this movie a lot . Mary goes back to work . Rose tries her luck at being a comedian . Rhoda struggles with a photography career . And Meredith ... what exactly does she do again ? These three stories that we follow over two hours are amusing and entertaining in their own way . When the two long time friends reunite , it only makes the film better . I was surprised about how good the writing was . The little jokes thrown in by Mary and Rhoda were funny . The script itself was very well put together . I had seen Moore and Harper in other movies over the past few years and thought that they were very good . But I had no idea that they worked this well as a team . While both actresses do their share to fulfill the title of this movie , they never seem to let me down . ( During the run of this movie . ) Joie Lenz and Marisa Ryan play their roles okay but nothing great . The rest of the cast like Jonah , Cecile and ... .everybody else also works well together . Being that this is a reunion , you would expect for a fan of either show to enjoy this . From a non-fan I still enjoyed this little get-together . Good story lines for each character and the two main characters is what makes this film very good . ( The newer version of the MTM theme song does n't hurt either . )"
17,1,val,"When this initially aired in 1984 , my wife and I taped it on our very first VHS recorder . I still have that aging tape , which I try to watch annually . It was the year my first child was born , and seeing A Christmas Carol in this incarnation brings back fond memories of happy times -- many hours of which were spent with this film playing in the background . I finally broke down this year and ordered a DVD , which prompted me to take a moment to write this brief reaction to the movie . Charles Dickens ' story is captured in outstanding fashion here . George C. Scott is absolutely amazing and totally believable as Scrooge . The supporting cast is equally spectacular . This is , to my mind , a flawless production . Little details add much to the enjoyment . The game `` similes '' Scrooge 's nephew and wife play with their party guests is a neat item . ( I 've since re-created it with my high school English students as a brief respite from class work ! ) Honestly , I can think of few ways to entertain myself over the holidays I enjoy more than indulging in this CBS production , which was originally sponsored by IBM . ( Incidentally , it 's fun to watch the old tape with the original IBM commercials ... which show just how much computers have evolved in 21 years . Amazing how things have changed ! ) Bottom line : A Christmas Carol is a timeless story , and this rendition is a timeless classic . Enjoy ... and God Bless Us , Every One !"
18,1,train,"Passport to Pimlico is a real treat for all fans of British cinema . Not only is it an enjoyable and thoroughly entertaining comedy , but it is a cinematic flashback to a bygone age , with attitudes and scenarios sadly now only a memory in British life . Stanley Holloway plays Pimlico resident Arthur Pemberton , who after the accidental detonation of an unexploded bomb , discovers a wealth of medieval treasure belonging to the 14th Century Duke of Burgundy that has been buried deep underneath their little suburban street these last 600 years . Accompanying the treasure is an ancient legal decree signed by King Edward IV of England ( which has never been officially rescinded ) to state that that particular London street had been declared Burgandian soil , which means that in the eyes of international law , Pemberton and the other local residents are no longer British subjects but natives of Burgundy and their tiny street an independent country in it 's own right and a law unto itself . This sets the war-battered and impoverished residents up in good stead as they believe themselves to be outside of English law and jurisdiction , so in an act of drunken defiance they burn their ration books , destroy and ignore their clothing coupons , flagrantly disregard British licencing laws etc , declaring themselves fully independent from Britain . However , what then happens is ever spiv , black marketeer and dishonest crook follows suit and crosses the 'border ' into Burgundy as a refuge from the law and post-war restrictions to sell their dodgy goods , and half of London 's consumers follow them in order to dodge the ration , making their quiet happy little haven , a den of thieves and a rather crowded one at that . Appealing to Whitehall for assistance , they are told that due to developments this is `` now a matter of foreign policy , which His Majesty 's Government is reluctant to become involved '' which leaves the residents high and dry . They do however declare the area a legal frontier and as such set up a fully equipped customs office at the end of the road , mainly to monitor smuggling than to ensure any safety for the residents of Pimlico . Eventually the border is closed altogether starting a major siege , with the Bugundian residents slowly running out of water and food , but never the less fighting on in true British style . As one Bugundian resident quotes , `` we 're English and we always were English , and it 's just because we are English , we are fighting so hard to be Bugundians '' A sentiment that is soon echoed throughout the capital as when the rest of London learn of the poor Bugundians plight they all feel compelled to chip in and help them , by throwing food and supplies over the barbed wire blockades . Will Whitehall , who has fought off so may invaders throughout the centuries finally be brought to it 's knees by this new batch of foreigners , especially as these ones are English ! ! ! ! Great tale , and great fun throughout . Not to be missed ."
19,1,train,"This is absolutely the best none-animated family film I 've seen in quite a while , back to the first Homeward Bound . Paulie is a humerous movie about life through a parrot 's POV . It 's a really touching movie and ranks high among family films , up to Disney status , IMHO ."
20,1,train,"Especially for a time when not much science fiction was being filmed ( 1973 ) , this is a terrific vision of a future where everything has gone wrong . Too many people , and nothing works . The only people who can live in comfort are the rich . It 's set in New York in 2022 ( I think ) , and it reminds you of your worst vision of Calcutta . I got to appreciate Charlton Heston 's acting after seeing him in Orson Welles ' Touch of Evil . He was ( maybe is ) capable of portraying a range of heroic or semi-heroic people . Here , he is torn between being a cop who is just a little bit corrupt ( taking rare food treats from the rich ) , and being totally corrupt ( actively condoning evil ) . The movie all seems to take place at night , and sweat is dripping off everyone , except in one of the rare air-conditioned apartments . Even though I had n't seen it before , I knew the famous ending ( which will not here be revealed ) , but the ending is certainly foreshadowed . Great scenes with Edward G. Robinson : going to the council ( made up of elderly Jews with heavy accents , so it seems ) , where the truth is revealed . And then going off to the Thanatopsis to check out . Gritty , pre-Star Wars dystopian science fiction ."
21,1,train,"Freddy 's Dead : The Final Nightmare ( 1991 ) was the last film to feature Freddy Krueger as a solo act ( not as an entity or a co-star ) . The years of killing have taken a toll upon the town of Springwood . It has gotten to the point that the little city has become a virtual ghost town . The parents who killed Freddy Krueger so many years ago have all paid the ultimate price . Only the mad inhabit the town and the survivors are scattered everywhere . But that does n't stop Freddy from seeking out his final revenge . No matter how they try to stop him , he always comes back for more . But this time he finds out a little more about his old life . Can the kids finally stop Freddy for good ? What is this secret that is buried in Freddy 's twisted mind ? to find out you 'll have to watch Freddy 's Dead . the end was originally filmed in 3-D. A fitting way to end the franchise . Freddy learns something about himself and his perverted life and he gets to go out in a bang ! Lisa Zane , Yaphet Kotto and Freddy Krueger star in this final installment . Rosanne , Tom Arnold and Johnny Depp make special appearances . A whole lot better than the last one but it 's filled with a few dated jokes . If you enjoy the series then you do n't want to miss out on this one . I have to recommend this movie for Freddy fans ."
22,1,val,"Delightful film directed by some of the best directors in the industry today . The film is also casting some of the great actors of our time , not just from France but from everywhere . My favorite segments : 14th arrondissement : Carol ( Margo Martindale ) , from Denver , comes to Paris to learn French and also to make a sense of her life . Montmartre : there was probably not a better way to start this movie than with this segment on romantic Paris . Loin du 16ème : an image of Paris that we are better aware of since the riots in the Cités . Ana ( Catalina Sandino Moreno ) spends more time taking care of somebody else 's kid ( she 's a nanny ) than of her own . Quartier Latin : so much fun to see Gérard Depardieu as the `` tenancier de bar '' with Gena Rowlands and Ben Gazzara discussing their divorce . Tour Eiffel : do n't tell me you did n't like those mimes ! Tuileries : such a treat to see Steve Buscemi as the tourist who 's making high-contact ( a no- no ) with a girl in the Metro . Parc Monceau : Nick Nolte is great . Ludivine Sagnier also . I 've spend 3 days in Paris in 2004 and this movie makes me want to go back ! Seen in Barcelona ( another great city ) , at the Verdi , on March 18th , 2007 . 84/100 ( *** )"
23,1,train,"Another Pokemon movie has hit the theaters , and again , I 'm hearing the same old , `` Pokemon is dead , blah blah blah . '' The franchise 's detractors could n't be more wrong . Kids are still playing the trading card game , they 're still watching the TV series , they 're waiting for the Game Boy Advance games , and they want to see `` Pokemon the 4th Movie . '' That said , `` Pokemon The 4th Movie '' introduces us to two more `` legendary '' Pokemon : Suicune , the `` north wind '' of lore , and Celebi , guardian of the forest ( and star of the show ) . Celebi transports itself and a boy named Sam 40 years into the future , to the present day , where Pokemon trainer Ash , his faithful Pikachu , and his friends Brock and Misty are traveling through Johto . Sam and Ash become fast friends , once they discover the other 's mutual love for Pokemon ( Sam 's vintage Pokeball with screw-on top is a great moment ) . Together , they decide to protect Celebi from the villain of the story , the Team Rocket agent aptly named Vicious , who is hell-bent on capturing Celebi for his own ends . Will Ash and Sam be able to protect Celebi from Vicious ' Dark Balls ? Where does Suicune fit into the picture ? Will Jessie , James , and Meowth have bigger parts in this movie than before ? And just who is Sam , really ? Like with the first 3 movies , if you go into the movie deciding that you 're automatically going to hate it no matter what simply because it 's Pokemon ( or just because your child/niece/nephew/younger sibling/et cetera `` dragged '' you into it ) , then you 're going to hate it because you 've decided that you want to hate it . That may be , but to blindly trash `` Pokemon The 4th Movie '' simply because it is a Pokemon movie , and especially without having seen it , is just plain stupid . Even non-fans can enjoy this movie without having to know every last detail of the world of Pokemon . I 'm not saying that you WILL become a Pokemon fan because of this movie , but you CAN indeed enjoy it , if you 'll let yourself . Unlike the first 3 Pokemon movies , `` Pokemon the 4th Movie '' is being distributed by Miramax , who I 've heard is also working on securing the rights to the 5th Pokemon movie , which was released this past summer in Japan . Miramax claims to have some boffo-aggressive marketing strategy for `` Pokemon The 4th Movie , '' but all I 've seen so far is a feeble limited release , which does n't include the usual Pikachu short in the beginning , which I was really looking forward to this time . I hope that Miramax will see fit to put the Pikachu short , called `` Pikachu 's Exciting Hide-and-Seek , '' onto at least the DVD/VHS release , if not with a future wider release of `` Pokemon The 4th Movie . '' I hope that the current release is just the tip of the iceberg for this very entertaining film ."
24,1,train,"If you think `` Weird Al '' Yankovic is hilarious , you wo n't be disappointed by THE COMPLEAT AL . Not only does this rare mockumentary feature many of Yankovic 's more memorable videos ( `` Like A Surgeon '' and `` I Love Rocky Road '' among them ) , but they are inter-spliced with funny vignettes supposedly highlighting the parodist 's rise to fame . Yankovic is not for all tastes , but his humor is harmless and imaginative enough that even non-fans will at least be lightly amused . Die-hard fans will love it not only for its content , but also for its relatively early look into Yankovic 's now nearly three decade career . Suitable for all ages , kiddies will no doubt love the funny visuals ."
25,1,train,"I first saw the film when it landed on US cable a year after it came out . It blew my little head away , I was only 16 and it was the first new wave music I 'd heard , having been a strictly folky , classical kid growing up . The music mesmerized me , as did Hazel O'Connor 's amazing look and charismatic vocal performances , and Phil Daniels ' tough but soft Cockney manager just stole my heart . But I think my favorite character was Jonathan Pryce 's drugged out sax player . He was so out of place in the band and so harmless and pathetic , he just begged for sympathy . Favorite scenes , the performance when the lights went out , and the love scene on the train . Okay , so the movie is n't the Rose ! But it was really excellent for its limited budget and for its portrayal of the Britain of the early 80 's , exploding with rebellious youth , looking for a way out of the dole queue . I went to Britain only a couple of years later and found the movie to have been very reflective of the atmosphere I found when I was there . If you get a chance to , see it . It is a great movie , with some wonderful performances , and the music will blow you away ."
26,1,val,"this movie I saw some 10 years ago ( maybe more ) , I took it in a rental and never found it to buy even in French sites . The end is very surprising and intelligent . I would like very much to watch it again because I think it 's as surpring as the Sixth Sense althogh a completely different kind of movie ."
